   Coefficient_of_Variation Standard_Deviation      Mean
1                  74.60631           1.909044  2.558824
2                  72.55094           2.281087  3.144118
3                 120.35861           3.952486  3.283925
4                 177.21808           6.381626  3.601002
5                  70.82116           2.369866  3.346269
6                  77.03969           2.774665  3.601604
7                  72.31940           3.125169  4.321343
8                  82.66642           3.915222  4.736170
9                  89.32469           5.113417  5.724528
10                 93.26569           6.391071  6.852542
11                 91.41650           7.744474  8.471637
12                 84.32587           7.863878  9.325581
13                 83.71822           9.224701 11.018750
14                 90.36316          10.457244 11.572464
15                 89.57771          12.624405 14.093243
