   Coefficient_of_Variation Standard_Deviation     Mean
1                  93.28363           2.548562 2.732057
2                  73.33433           1.832381 2.498667
3                 143.08814           4.190983 2.928952
4                 191.32341           5.452845 2.850067
5                  74.79927           2.256015 3.016092
6                  75.45313           2.436387 3.229008
7                  83.18531           2.886381 3.469821
8                  76.49774           2.987159 3.904899
9                  72.11771           2.901549 4.023352
10                 69.77787           2.874676 4.119753
11                 66.53349           3.272456 4.918510
12                 73.75841           3.894727 5.280384
13                 59.53093           3.385172 5.686408
14                 66.72659           3.987966 5.976577
15                 66.21479           4.495280 6.788936
