   Coefficient_of_Variation Standard_Deviation     Mean
1                  140.1339           3.452660 2.463830
2                  230.7502           4.281440 1.855444
3                  302.7471           3.712798 1.226370
4                  286.1608           3.223677 1.126527
5                  273.7594           3.846351 1.405011
6                  260.3761           3.608860 1.386018
7                  253.5950           5.287277 2.084929
8                  216.4388           4.746323 2.192917
9                  250.8908           6.008293 2.394784
10                 203.5183           4.155698 2.041929
11                 377.8533          11.310440 2.993342
12                 326.3104           8.375841 2.566833
13                 411.4154          13.353520 3.245751
14                 347.8126          10.305942 2.963073
15                 581.1660          26.497916 4.559441
