   Coefficient_of_Variation Standard_Deviation      Mean
1                  91.55433          0.5370488 0.5865903
2                  94.38191          0.5570982 0.5902595
3                 111.05644          0.6772899 0.6098610
4                 129.64084          0.8643753 0.6667462
5                 122.20171          0.8950962 0.7324743
6                 143.46836          1.1273378 0.7857745
7                 145.64355          1.2469356 0.8561558
8                 157.82147          1.3177278 0.8349484
9                 192.07150          1.7436208 0.9077978
10                189.01211          1.7472731 0.9244239
11                195.90516          1.8746471 0.9569156
12                218.31174          2.1842222 1.0005061
13                202.81986          2.0239534 0.9979069
14                229.04933          2.4757957 1.0809007
15                233.72508          2.5527074 1.0921838
