   Coefficient_of_Variation Standard_Deviation     Mean
1                  92.28299           2.586586 2.802885
2                  84.59156           2.559001 3.025126
3                  82.91962           2.484764 2.996593
4                  69.72616           2.082027 2.986005
5                  82.97736           2.647694 3.190863
6                  61.17928           1.983912 3.242784
7                  60.31003           2.052996 3.404070
8                  66.59699           2.495473 3.747126
9                  64.87472           2.464868 3.799427
10                 59.68282           2.294789 3.844974
11                 53.29894           2.026897 3.802885
12                 59.60124           2.581495 4.331278
13                 60.89057           2.715076 4.458943
14                 60.84321           2.740470 4.504151
15                 62.68593           3.034308 4.840493
