   Coefficient_of_Variation Standard_Deviation      Mean
1                  82.16623          0.6909433 0.8409091
2                  88.64437          0.5712110 0.6443850
3                 133.59363          0.9511433 0.7119675
4                 154.02402          1.2664766 0.8222591
5                  61.25280          0.4791827 0.7823034
6                 113.18491          1.0308719 0.9107856
7                 148.43486          1.3926513 0.9382239
8                 105.04751          1.0636060 1.0125000
9                 259.47276          3.1181413 1.2017220
10                316.11297          3.6127197 1.1428571
11                328.14215          4.0806337 1.2435567
12                266.03089          2.8652198 1.0770252
13                166.40779          1.8508139 1.1122159
14                336.19894          4.5235756 1.3455056
15                344.89601          4.8415416 1.4037685
